class,text,Label,text_clean
Auto, Please read Mkaresh s post Yes Bubba  It is a truck  before reading this post  as this post is in reply to his excellent review of the X5  I decided to post this as a review since it became kind of long for a comment response to his review Mkaresh  I largely agree with your post  I own a 528i wagon see my review  and it IS a better handling and bigger  cargo space vehicle than the X5 BUT  cars appeal to peoples emotions as often as their sensibilities  I drove a X5 with the 4 4L engine and it definitely has emotional appeal in spades  Let s face it  most people worry about how they will look in a car above all else  Especially in this market segment  And the X5 looks GOOD  Also  the interior is like no other that I ve seen stunning I agree that it is a compromise vehicle  And I like the wagon more for its extra space and better ride and handling  But if I didn t need the extra space  weren t such a driving enthusiast  and wanted something that said something about my position in life loudly and with flair  I could do much worse than the X5  Lastly  regardless of any compromises  this thing is a BMW  Forget the image  forget the prestige  put your ego aside  To me there is ONE reason to spend this kind of money on a vehicle  Because it is an incredible engineering achievement  You feel it in every shift  through every corner  and approaching every stop light  You feel it when you open the door and get in  and you feel it when you employ any of its features  It is automotive genius  and thus any BMW is a bargain to those with the means br br  ,0,read mkaresh post yes bubba truck reading post post reply excellent review x5 decided post review kind long comment response review mkaresh largely agree post 528i wagon review better handling bigger cargo space vehicle x5 cars appeal peoples emotions sensibilities drove x5 4l engine definitely emotional appeal spades let face people worry look car especially market segment x5 looks good interior like ve seen stunning agree compromise vehicle like wagon extra space better ride handling didn need extra space weren driving enthusiast wanted said position life loudly flair worse x5 lastly regardless compromises thing bmw forget image forget prestige ego aside reason spend kind money vehicle incredible engineering achievement feel shift corner approaching stop light feel open door feel employ features automotive genius bmw bargain means br br
Camera, When shopping for a digital camera  you probably want the most for your dollar right  Who doesn t  After doing exstensive research on cameras  finding this one was a blessing  While I could state a bunch of specs and fill this space with technical stuff  I m sure you can go to the Toshiba com web site for yourself  I wanted a camera that had would give me clear still pictures and short movies  Having never used a digital camera before  I wanted one that was REALLY easy to use  This one is menu driven  In short  I needed a camera that is simple enough to learn on  yet will allow me to take really awsome pictures if I ever get better at photography It s a simple camera in some resects  You can use it to just point and shoot  No worries about focusing though  it does that for you  You can set the flash to one spot and just leave it there  At this level  it basically acts kind of like a regular film camera Here s where it gets better You can set your flash to different levels to accomidate for stuff like low light   red eye reduction There are different modes that help you get the best pictures possible  While taking pictures of my toddler I found the burst mode to be incredibly helpful  It takes a series of pictures in quick sucession  Good for moving subjects and if you ve ever tried to get a toddler to sit still for a picture you can see how handy this is  If you get really good  there s a manual mode so you can mess around with settings drawbacks Unfortunatly there is quite a delay from when you push the button to when the camera actually takes the picture  While annoying  it s easily worked around  Low lighting makes it almost impossible to shoot using your LCD screen  Movie mode  You can do it in low light but your movie might suck  The battery has a decent life  Being rechargable is good  yet bad  If you re out some where and your battery dies  unless you have another one or use your adapter  you re out of luck  On the plus side  we all know how expensive it can get when you have to buy batteries all the time  What I got with my camera With my camera I recived a 8 meg  smart media  card  a lens cap  a carry strap  and software  The software is really cool and makes getting your pics easy  You just  get images  Extras I did buy a LCD screen protector  After a few uses I found that my thumb always seems to end up on the screen  Not wanting to dirty or scratch my screen I got a proctector that I can replace if I have to  I also bought a camera bag for it since the thought of haveing my investment floating around wasn t appealing  Screen protector  about  10 off ebay  Camera bag I think was  20 or so off the Toshiba web site  I also bought another media card  I got a 32 meg card and it didn t cost more than what I would have spent in a month for film and developing Picture stuff  I keep my Camera set to take 800X600 pics  That s  medium  size  I have it set at medium quiality  This allows me to take a good amount of pics and not have them look crummy 800X600 is what most people have thier computer screen resoultion set at  Macro setting can get you VERY close  I was able to take some neat pics of the inside of a flower without it getting blurry  Overall  I think the pictures are crispy looking and FAR better than my 35mm film camera More extras There s a ton of other stuff you can buy to add to your camera  Do you really like the  floppy disk  idea  You can get a floppy that you plug your media into and get your pics that way  You can get tripods  lenses  bags  faster rechargers  bigger media cards  There s no shortage of accesories to buy if you want more add ons Durability  Well  I don t know about that as I ve never dropped my camera  I really don t think it would withstand a lot of abuse though  My little brother had a very expensive untill he dropped it about 4 feet  Now he has a very exspenive paper weight  As long as you hold on to your camera for dear life and don t drop it  I think it ll last for a long time Overall I think it s a great camera  It s few drawbacks are easily worked around  I bought my camera as a refurbished model from the Toshiba web site  The price was definetly right  It has a lot of options and quality for the price tag  ,1,shopping digital camera probably want dollar right doesn doing exstensive research cameras finding blessing state bunch specs space technical stuff sure toshiba com web site wanted camera clear pictures short movies having used digital camera wanted really easy use menu driven short needed camera simple learn allow really awsome pictures better photography simple camera resects use just point shoot worries focusing does set flash spot just leave level basically acts kind like regular film camera gets better set flash different levels accomidate stuff like low light red eye reduction different modes help best pictures possible taking pictures toddler burst mode incredibly helpful takes series pictures quick sucession good moving subjects ve tried toddler sit picture handy really good manual mode mess settings drawbacks unfortunatly quite delay push button camera actually takes picture annoying easily worked low lighting makes impossible shoot using lcd screen movie mode low light movie suck battery decent life rechargable good bad battery dies unless use adapter luck plus know expensive buy batteries time got camera camera recived meg smart media card lens cap carry strap software software really cool makes getting pics easy just images extras did buy lcd screen protector uses thumb end screen wanting dirty scratch screen got proctector replace bought camera bag thought haveing investment floating wasn appealing screen protector 10 ebay camera bag think 20 toshiba web site bought media card got 32 meg card didn cost spent month film developing picture stuff camera set 800x600 pics medium size set medium quiality allows good pics look crummy 800x600 people thier computer screen resoultion set macro setting close able neat pics inside flower getting blurry overall think pictures crispy looking far better 35mm film camera extras ton stuff buy add camera really like floppy disk idea floppy plug media pics way tripods lenses bags faster rechargers bigger media cards shortage accesories buy want add ons durability don know ve dropped camera really don think withstand lot abuse little brother expensive untill dropped feet exspenive paper weight long hold camera dear life don drop think ll long time overall think great camera drawbacks easily worked bought camera refurbished model toshiba web site price definetly right lot options quality price tag
Camera, There is lots to be said about the Sony Mavica FD85  first off this camera is very easy to use and what you do not understand the owners manual contains instructions which are very easy to read and understand  This camera is well worth the  500 just to have the floppy access which saves tons of time  you no longer have to connect your camera to a computer it is as simple as putting the floppy into your computer and all your pictures are there ready to be looked at  This feature is also great because you no longer have to take up precious hard drive space to store pictures with the low price of floppies you just store your disk for later viewing  As for picture quality it has 4 settings you can use and all are great quality for being a 1 3 megapixel in the lowest setting which is still great for viewing on a computer you can fit close to 35 pictures on each floppy which is great  The best feature on this camera definately is the battery life  even with the battery that comes with the camera has close to 2 hours of picture time which compared to all my other digital cameras that ran on AA batteries is unheard of to me and saves lots of money for a little extra money a 4 hour battery can be purchased and i definately will making this buy  The only real downsides to this camera i can say arent major at all 1 is the weight it is a little heavy but technology is heavy second thing is the lens cap gets in the way which is just a neucsence more than anything  Well you heard my view on this camera and i am a regular person using this not a computer pro i hope this helps in your decision  Thankyou for your time ,1,lots said sony mavica fd85 camera easy use understand owners manual contains instructions easy read understand camera worth 500 just floppy access saves tons time longer connect camera computer simple putting floppy computer pictures ready looked feature great longer precious hard drive space store pictures low price floppies just store disk later viewing picture quality settings use great quality megapixel lowest setting great viewing computer fit close 35 pictures floppy great best feature camera definately battery life battery comes camera close hours picture time compared digital cameras ran aa batteries unheard saves lots money little extra money hour battery purchased definately making buy real downsides camera say arent major weight little heavy technology heavy second thing lens cap gets way just neucsence heard view camera regular person using computer pro hope helps decision thankyou time
Auto, We bought our 2001 Avalon XLS in Summer 2001 and love it  It s loaded with all the bells and whistles  option package  7  aka  the kitchen sink  sunroof  traction control  heated seats  etc  Haven t yet located the button for the automatic back scratchers  I m sure I ll find it some day Given that I m extremely happy with the car  I ll focus my comments on what s not so good The trip computer  w  computation of fuel economy  elapsed time  etc  is rendered virtually useless by the fact that it is automatically reset each time the ignition is switched off this is my biggest complaint with the car  And there is no control  that I know of  to change this setting Our car was delivered out of alignment  the dealer rectified that at no charge  However  alignment has continued to be somewhat of an issue I have found that the car is very sensitive to front wheel tire inflation   I will admit  however  to being a bit obsessive  compulsive with regards to alignment and others many not be as particular as I Audio controls on the steering wheel would be nice We have found the traction control to be great and combined with the anti lock brakes  the car handles very well in slushy weather The automatic headlights turn on a bit too late  i e  after it is a little too dark  the manual says that this can be adjusted by the dealer  but the guy I talked to at my service department didn t know anything about it  Admittedly  however  he was no candidate for Mensa The low fuel light on my Avalon is useless  It never seemed to come on  leading me to suspect that it was broken  To test this  I decided to drive my car to as close to empty as possible  tempting fate in a stubborn test of wills with the tiny dashboard bulb   I usually fill up once I dip below a   tank  The low fuel warning light finally lit when the trip computer indicated we had only 14 miles to go until my wife had to get out and push us into the nearest gas station  The low fuel light had finally sent it 146s notice with less than half a gallon in the tank  This isn 146t a warning it 146s a lonely  final gasp of thirst If you 146re looking for a  147performance 148 sedan  the Avalon isn 146t it  It 146s plenty fast and handles well  but the Acura TL is sportier  but much more cramped  We looked at the Maxima  but it seemed cheap and tacky  And the Avalon  a sedate car in its on right  has the panache of a Rolls Royce compared to the coma inducing Accord and Camry  We thought about a Volvo  but we didn 146t like the 5 cylinder engine and their quality ratings have plummeted in recent years  something to which my next door neighbor can attest as his new Volvo S80 has been back to the dealer numerous times  A good friend recently bought a BMW 3 series  it 146s tiny compared to our Avalon  isn 146t nearly as comfortable  and cost thousands more  Granted  the Beemer is faster and more of a performance car  but I think she got raked over the coals  Maybe I 146m beyond my years  I 146m 35  but I 146m more interested in comfort than speed  The car ads on TV show beautiful people driving their cars on empty  winding roads at 80  MPH  But I don 146t live in a car ad  I 146m not beautiful  the roads I drive are filled with yahoos  and if I was lucky enough to rev it up to 80 I d have a state trooper on me like a dog on a porkchop  Given this context  I find the Avalon to be a very comfortable and very capable performer We looked at American cars and without exception  we thought they were just absolute junk  Other than selling a Buick Park Avenue to my father in law every 12 years  I don 146t know how GM stays in business  The Avalon has the perfect mix of quality  comfort  and performance that we were looking for  ,0,bought 2001 avalon xls summer 2001 love loaded bells whistles option package aka kitchen sink sunroof traction control heated seats haven located button automatic scratchers sure ll day given extremely happy car ll focus comments good trip computer computation fuel economy elapsed time rendered virtually useless fact automatically reset time ignition switched biggest complaint car control know change setting car delivered alignment dealer rectified charge alignment continued somewhat issue car sensitive wheel tire inflation admit bit obsessive compulsive regards alignment particular audio controls steering wheel nice traction control great combined anti lock brakes car handles slushy weather automatic headlights turn bit late little dark manual says adjusted dealer guy talked service department didn know admittedly candidate mensa low fuel light avalon useless come leading suspect broken test decided drive car close possible tempting fate stubborn test wills tiny dashboard bulb usually dip tank low fuel warning light finally lit trip computer indicated 14 miles wife push nearest gas station low fuel light finally sent 146s notice half gallon tank isn 146t warning 146s lonely final gasp thirst 146re looking 147performance 148 sedan avalon isn 146t 146s plenty fast handles acura tl sportier cramped looked maxima cheap tacky avalon sedate car right panache rolls royce compared coma inducing accord camry thought volvo didn 146t like cylinder engine quality ratings plummeted recent years door neighbor attest new volvo s80 dealer numerous times good friend recently bought bmw series 146s tiny compared avalon isn 146t nearly comfortable cost thousands granted beemer faster performance car think got raked coals maybe 146m years 146m 35 146m interested comfort speed car ads tv beautiful people driving cars winding roads 80 mph don 146t live car ad 146m beautiful roads drive filled yahoos lucky rev 80 state trooper like dog porkchop given context avalon comfortable capable performer looked american cars exception thought just absolute junk selling buick park avenue father law 12 years don 146t know gm stays business avalon perfect mix quality comfort performance looking
Camera, I have been a 35 mm guy for over 30 years and have shot well over 15 000 images including a number of published photos and a magazine cover shot  Not bad for an amateur After looking at every consumer level digital camera  I decided on the Nikon 995 in August 2001  I shoot a combination of outdoor  landscapes and macro plus industrial photos for my work  I was drawn to the 995 because it is small enough to pack in my computer case or a fanny pack and yet has a full compliment of attachment lenses   2 fish eyes  a wide angle  2 telephotos and a slide copier attachment The camera works in the Auto mode right out of the box and is a no brainer  even for someone who has never taken pictures  Using the M or programmable mode takes some reading  The manual is over 160 pages  Even as an experienced amateur  after 6 months of use I am still reading the manual to learn everything that the camera can do in every mode I bought the wide angle lens  the 500 mm equivalent telephoto  the cable release and the slide copier attachment  The wide angle is great  The 500 mm  as you would expect from any lens of that length  absolutely requires a tripod  The cable release is a pain to use  For telephoto shots I usually use the timer in 3 second mode  push the shutter button twice The slide copier works great and is a real bargain  I have transferred over 300 slides to digital for web publishing  A whole lot cheaper than a slide scanner  and the quality is excellent After 2 000 pictures including an extensive industrial shoot for a PowerPoint presentation  about 2 hours of  MOV files  video without sound  and hundreds of outdoor images  I think I made the right choice  If you are planning on replacing 35mm as I have  you need an extra battery  maybe two  and depending on your interest in quality pictures  filters   skylight  circular polarizer  neutral density  I use 4 digital flash cards  2 128k and 2 64k  enough for a 2 3 day backpacking trip The camera is tough  I dropped it in New Orleans  no  I did not have too much to drink  on the concrete from about 4 feet  duh  Broke the rotary selector switch  which I replaced myself for  28  don t tell Nikon  and the camera is no worse for wear  You should see the electronics inside of this thing  Makes a computer look like a toy If you really want to learn to use this camera  find a copy of the Mastering Nikon Compact Digital Cameras   an eBook on CD  I learned more in 20 minutes than in six months reading the manual  Good shooting  ,1,35 mm guy 30 years shot 15 000 images including number published photos magazine cover shot bad amateur looking consumer level digital camera decided nikon 995 august 2001 shoot combination outdoor landscapes macro plus industrial photos work drawn 995 small pack computer case fanny pack compliment attachment lenses fish eyes wide angle telephotos slide copier attachment camera works auto mode right box brainer taken pictures using programmable mode takes reading manual 160 pages experienced amateur months use reading manual learn camera mode bought wide angle lens 500 mm equivalent telephoto cable release slide copier attachment wide angle great 500 mm expect lens length absolutely requires tripod cable release pain use telephoto shots usually use timer second mode push shutter button twice slide copier works great real bargain transferred 300 slides digital web publishing lot cheaper slide scanner quality excellent 000 pictures including extensive industrial shoot powerpoint presentation hours mov files video sound hundreds outdoor images think right choice planning replacing 35mm need extra battery maybe depending quality pictures filters skylight circular polarizer neutral density use digital flash cards 128k 64k day backpacking trip camera tough dropped new orleans did drink concrete feet duh broke rotary selector switch replaced 28 don tell nikon camera worse wear electronics inside thing makes computer look like toy really want learn use camera copy mastering nikon compact digital cameras ebook cd learned 20 minutes months reading manual good shooting
Auto, I bought the 1995 LS Integra sedan new  After 84 000 highway miles  this car can only be described as a GEM of first class proportions  I highly recommend the 5 speed  as you gain power  control  mileage  and the FUN to drive factor First  I have not had ONE SINGLE THING ever go wrong with the car  It has driven flawlessly from day one  without a single non routine maintenance repair  Other than routine oil changes  and service  I have had NO shop visit  I have done routine maintenance and had one set of front disc pads replaced  To this day  it rides  accelerates  handles  and behaves precisely as well as it did when I drove it off the dealer s lot The LS is a great performer and great fun to drive  Don t believe what you read about how the Integra GSR outperforms the LS  In everyday driving  and even quite challenging driving you won t tell the difference  The fact is  when you overlay the torque power acceleration curves for the 140 HP LS vs  the 170 HP GSR  they are virtually identical until you get well above 5500 RPM s  That s really where the VTEC advantages of the GSR kick in  Now if you are out racing at 100 MPH   on a routine basis  then the several 6 or 7 thousand   more for the GSR will be justified  In everyday routine driving however  even HARD and FAST driving   which is what I do  there simply is no substantive difference I love the handling on this gem  and commute a winding  demanding road  80 miles daily  I simply never get tired of the  quot fun quot  factor that an otherwise torturous drive  produces from this car  Comfort is also a big plus with excellent fit and finish  well laid out dash  strong air conditioner  comfy seats  and excellent visibility  Mileage for all this power and fun  Unbeatable  I consistently get 28 to 34 MPG on 89 octane with this screamer  and I drive it pretty hard  Complaints  None of substance  My only nits to pick would be that interior road noise is slightly higher than more  quot sedate quot  sedans provide  wind noise around door seals is a bit higher than for most sedans  and the stock premium stereo could be better for those into audiophile quality sounds systems  Beyond those rather minor  quot sound quot  related caveats  I have simply never owned a car I loved more than this one  And probably never will again  if they redesign the fun out of this  as so many other manufacturers have done br br  ,0,bought 1995 ls integra sedan new 84 000 highway miles car described gem class proportions highly recommend speed gain power control mileage fun drive factor single thing wrong car driven flawlessly day single non routine maintenance repair routine oil changes service shop visit routine maintenance set disc pads replaced day rides accelerates handles behaves precisely did drove dealer lot ls great performer great fun drive don believe read integra gsr outperforms ls everyday driving quite challenging driving won tell difference fact overlay torque power acceleration curves 140 hp ls vs 170 hp gsr virtually identical 5500 rpm really vtec advantages gsr kick racing 100 mph routine basis thousand gsr justified everyday routine driving hard fast driving simply substantive difference love handling gem commute winding demanding road 80 miles daily simply tired quot fun quot factor torturous drive produces car comfort big plus excellent fit finish laid dash strong air conditioner comfy seats excellent visibility mileage power fun unbeatable consistently 28 34 mpg 89 octane screamer drive pretty hard complaints substance nits pick interior road noise slightly higher quot sedate quot sedans provide wind noise door seals bit higher sedans stock premium stereo better audiophile quality sounds systems minor quot sound quot related caveats simply owned car loved probably redesign fun manufacturers br br
Auto, Well  not a whole lot  to be honest  I ve always driven trucks or SUV s  and I was very reluctant about buying a car  You see  I m very short  This may sound unrelated  but I m just over 5 feet tall  and I never really liked the idea of being so close to the ground while I drove  Whenever I was forced to drive a car when my car was in the shop or being used by someone else  I always felt like I was driving a go cart So  when I recently decided to trade in my Explorer for something more fuel efficient  I figured I d stay with Ford and go for a Taurus  I purchased the Taurus LES  the luxury model  complete with leather interior and climate control  And I have to tell you  it s been absolutely incredible  Apparently  Ford has been working on the new design for the Taurus for somewhere in the neighborhood of 5 years  Although I m still closer to the ground than I d like  this model is much better than my mother s 1996 Taurus  The car rides much smoother than my Explorer ever did  and it s much more fuel efficient  So  if there is anyone out there who s been hit as hard by the gas price hike and is nervous about buying a car  I d highly recommend this beautiful  economical car     ,0,lot honest ve driven trucks suv reluctant buying car short sound unrelated just feet tall really liked idea close ground drove forced drive car car shop used felt like driving cart recently decided trade explorer fuel efficient figured stay ford taurus purchased taurus les luxury model complete leather interior climate control tell absolutely incredible apparently ford working new design taurus neighborhood years closer ground like model better mother 1996 taurus car rides smoother explorer did fuel efficient hit hard gas price hike nervous buying car highly recommend beautiful economical car
Camera, The DC Zoom Camera by Kodak is definitely a professional camera  and really gives a professional performance  but it s not for everyone  The features are impressive  but so is the price  It has a 3x optical zoom plus a 2x digital zoom for a focal length equivalent to 38mm wide angle to 115mm zoom It has a 1 6 million pixel resolution 1536 x 1024  and a 2 0 quot  TFT color LCD for review and preview  plus an optical viewfinder  There are four flash modes to choose from  and an optional external flash sync enabled  and it includes the 16MB Kodak picture card  It s fully compatible with Windows 95  98  NT 4 0  and Power Macintosh  Mac0S 7 6 or later  It also has automatic OR manual exposure with automatic white balance  This equipment really delivers  but it s not for the faint hearted it s a 950  model  geared towards someone that is very familiar with digital technology  If you re a novice do NOT start here  If not  go for it you will be amazed with the quality br br  ,1,dc zoom camera kodak definitely professional camera really gives professional performance features impressive price 3x optical zoom plus 2x digital zoom focal length equivalent 38mm wide angle 115mm zoom million pixel resolution 1536 1024 quot tft color lcd review preview plus optical viewfinder flash modes choose optional external flash sync enabled includes 16mb kodak picture card fully compatible windows 95 98 nt power macintosh mac0s later automatic manual exposure automatic white balance equipment really delivers faint hearted 950 model geared familiar digital technology novice start amazed quality br br
Auto, When BMW was first founded  the M  in BMW  has always stood for  Motoren  German for engine  Today  BMW makes a line of  M  cars that began with the famed M1 supercar of 1978  In 1988  the M Group introduced the M5  a high performance version of the 5 series  midsize luxury car  It was powered by a 256 horsepower  6 cylinder engine  Today  the M5 is a V8 powered luxury car with enough power to embarass a Corvette b EXTERIOR   The M5 is very stylish  yet VERY understated  The 18 inch alloy wheels and M badges are the only styling features that set it apart from lesser 5 series models  New for 2002  are chrome rings around the headlights  Another way to tell if an M5 IS an M5 is its 4 exhaust pipes b INTERIOR   No 5 series is as quiet as a Lexus in my opinion  but wind noise is kept at a bare minimum  The engine is very quiet at low rpms  At high rpms  the V8 engine can sound a bit whiny  Tire roar is noticeable from the high performance tires  but not loud enough to annoy me  The instruments are easy on the eyes and the gauges glow bright red at night  The tachometer even has a variable redline  When the engine is started cold  the redline is set at a lower rpm than usual  When the engine is warmed  the redline will reset itself to the full 7 000 rpm The navigation system is a VERY useful piece of equipment  assuming you know how to use it  Although not nearly as complex as Mercedes  COMMAND navigation system  BMW incorporates audio and climate controls into the navigation system which  to me  overcomplicates what is usually a simple task Up front  there is a LOT of room even for tall drivers  Usually  a sunroofs cut in on headroom  but this is NOT the case for the M5  or any 5 series for that matter  The front buckets are very supportive laterally  and EXTREMELY comfortable  The 16 way power seats also have a power lumbar adjustment  Even in the back  there is enough leg room for me  The seats in the back are just as comfortable as in the rear  Leather upholstery is standard  Wood interior accents add a very luxurious tone to the cabin  As far as cargo room is concerned  the narrow trunk can hold 11 1 cubic feet  subpar for the class b ENGINE   The M5 is powered by a 4 9 liter V8 engine  It produces 394 horsepower at 6 600 rpm  and 368 lb ft  of torque at 3 800 rpm  Around town  torque is always there  The M5 is so strong in fact  I have to keep an eye on the speedometer almost ALL the time  As expected with almost 400 horses  highway response is simply amazing  Most popular car magazines claim a 0 60 mph time of less than 5 seconds  So what is the punishment for that power  Horrible fuel economy  EPA estimate of 13 city and 21 highway indicate many pit stops per week  Premium fuel is required  The only transmisson option is a 6 speed manual transmission  The clutch is perfect  not too light  yet none too stiff  The shifter feel is great b HANDLING   Despite the fact that the M5 weighs 4 024 pounds  on twisty roads  you seldom feel it  The steering is weighted just right for me  There is very little body lean in the corners  Traction control is a must in snowy climates  considering that there is almost 400 horsepower at your disposal  Overall  the M5 is very fun to drive b RIDE   Although the M5 is very stiffly sprung  it actually rides quite good  Only moon like road surfaces upset the M5 s amazing balance  At high speeds  the 4 000 pound bullet is extremly stable  perfect for the Autobahn b RELIABILTY   All products from BMW are safe and reliable  but some 2000 and 2001 M5 s have been issued recalls  For more information  check out http www nhtsa gov cars problems recalls index cfm b VALUE   The M5 is a well built  fun to drive sports car  with executive like luxury and amenities  Although its  70 000 price tag suggests exlusivity  M5 is just too understated for my tastes  Personally  I would prefer more styling enhancements than that of lesser 5 series cars  All in all  if you are in the market for a high performance 4 door sports car with a lot of luxury items  the M5 is the perfect car for you  ,0,bmw founded bmw stood motoren german engine today bmw makes line cars began famed m1 supercar 1978 1988 group introduced m5 high performance version series midsize luxury car powered 256 horsepower cylinder engine today m5 v8 powered luxury car power embarass corvette exterior m5 stylish understated 18 inch alloy wheels badges styling features set apart lesser series models new 2002 chrome rings headlights way tell m5 m5 exhaust pipes interior series quiet lexus opinion wind noise kept bare minimum engine quiet low rpms high rpms v8 engine sound bit whiny tire roar noticeable high performance tires loud annoy instruments easy eyes gauges glow bright red night tachometer variable redline engine started cold redline set lower rpm usual engine warmed redline reset 000 rpm navigation useful piece equipment assuming know use nearly complex mercedes command navigation bmw incorporates audio climate controls navigation overcomplicates usually simple task lot room tall drivers usually sunroofs cut headroom case m5 series matter buckets supportive laterally extremely comfortable 16 way power seats power lumbar adjustment leg room seats just comfortable rear leather upholstery standard wood interior accents add luxurious tone cabin far cargo room concerned narrow trunk hold 11 cubic feet subpar class engine m5 powered liter v8 engine produces 394 horsepower 600 rpm 368 lb ft torque 800 rpm town torque m5 strong fact eye speedometer time expected 400 horses highway response simply amazing popular car magazines claim 60 mph time seconds punishment power horrible fuel economy epa estimate 13 city 21 highway indicate pit stops week premium fuel required transmisson option speed manual transmission clutch perfect light stiff shifter feel great handling despite fact m5 weighs 024 pounds twisty roads seldom feel steering weighted just right little body lean corners traction control snowy climates considering 400 horsepower disposal overall m5 fun drive ride m5 stiffly sprung actually rides quite good moon like road surfaces upset m5 amazing balance high speeds 000 pound bullet extremly stable perfect autobahn reliabilty products bmw safe reliable 2000 2001 m5 issued recalls information check http www nhtsa gov cars problems recalls index cfm value m5 built fun drive sports car executive like luxury amenities 70 000 price tag suggests exlusivity m5 just understated tastes personally prefer styling enhancements lesser series cars market high performance door sports car lot luxury items m5 perfect car
Auto, My Mazda delivered everything I hoped for for the price and more  I bought it fresh out of college  and drove it happily for three years until totalling it in an accident  WHO WOULD LOVE ONE A college student  recent grad  or family on a budget who are looking for reliability and a car they won t be ashamed to drive  but not necessarily something too flashy PROS  My Mazda never once broke down  refused to start  stalled  or underperformed  The ride was more comfortable with 5 passengers than any other car I ve ridden in for its size  It also handled multiple carseats well when babysitting  and the back doors  openings were wide enough to be practical loading packages  pets  or kids  It was great on gas  30 34MPG with an automatic  easy to park  and had plenty of storage space in the trunk  It handled very well in NH snow   a very big concern for me in the purchase decision  Braking and steering were very comfortable and responsive  Car was powerful enough to merge into traffic in a short distance    It had a good package of standard safety features  Visibility was overall very good  unlike some comparable 1997 makes with huge blind spots    When I priced insurance rates on it and other cars I was considering in its price class  the rates for the Mazda were lower than its competitors THE ACCIDENT   A BIG PRO The only reason I am not still driving this car is a big reason I would recommend it to others  I was in an accident where I was hit from the drivers side so hard that I spun into a guard rail  hitting it head on at about 20 mph  I am happy to report that the car performed above and beyond my expectations in this situation  Both airbags deployed  and my seatbelt obviously worked well  as I would expect  The crumple zones certainly crumpled   the car looked a mess  However  considering the force of both impacts  and the fact that I walked away without so much as a scratch  says a great deal to me about the safety of the car  As a side note  as a smaller woman  the force of the airbags was not enough to hurt me  and the design of the car allowed easy enough reach of the controls that I did not have to sit on top of the steering wheel like in other cars I ve driven The car also had low impact bumpers  where another car  nudged  me a few times  and there were no dents or scratches left CONS  Acceleration could have been better  particularly when the car was heavily loaded  or when going uphill  The road noise was more prominent than in some of its competitors  Baseline models are BASELINE   no frills there  The factory speakers weren t great   I ended up upgrading the stereo system  including the speakers    The transmission would sometimes shift a little heavily  and was not as smooth as other cars I ve ridden in  ,0,mazda delivered hoped price bought fresh college drove happily years totalling accident love college student recent grad family budget looking reliability car won ashamed drive necessarily flashy pros mazda broke refused start stalled underperformed ride comfortable passengers car ve ridden size handled multiple carseats babysitting doors openings wide practical loading packages pets kids great gas 30 34mpg automatic easy park plenty storage space trunk handled nh snow big concern purchase decision braking steering comfortable responsive car powerful merge traffic short distance good package standard safety features visibility overall good unlike comparable 1997 makes huge blind spots priced insurance rates cars considering price class rates mazda lower competitors accident big pro reason driving car big reason recommend accident hit drivers hard spun guard rail hitting head 20 mph happy report car performed expectations situation airbags deployed seatbelt obviously worked expect crumple zones certainly crumpled car looked mess considering force impacts fact walked away scratch says great deal safety car note smaller woman force airbags hurt design car allowed easy reach controls did sit steering wheel like cars ve driven car low impact bumpers car nudged times dents scratches left cons acceleration better particularly car heavily loaded going uphill road noise prominent competitors baseline models baseline frills factory speakers weren great ended upgrading stereo including speakers transmission shift little heavily smooth cars ve ridden
